tau_high,scenario,passed,fail_years_last10,min_repl_low,min_repl_mid,min_pool,max_state_loan,final_state_loan
0.0725,hard_0p5,0,6,0.5664749851028076,0.5012394659890106,0.0,493019085516.6057,493019085516.6057
0.0725,flat_0p0,0,10,0.49146176380955353,0.4376894867756898,0.0,444045024560.0,444045024560.0
0.075,base_1p7,1,0,1.0,0.7,2075767591665.2239,0.0,0.0
0.075,low_1p0,1,0,1.0,0.7,115537867374.3058,0.0,0.0
0.075,hard_0p5,0,5,0.5726800665863653,0.5040843429093103,0.0,493019085516.6057,493019085516.6057
0.075,flat_0p0,0,10,0.49721742562617244,0.4406583306061417,0.0,444045024560.0,444045024560.0
0.0775,base_1p7,1,0,1.0,0.7,2186802654241.656,0.0,0.0
0.0775,low_1p0,1,0,1.0,0.7,226275562053.01837,0.0,0.0
0.0775,hard_0p5,0,4,0.5788851480699229,0.5069292198296099,0.0,493019085516.6057,493019085516.6057
0.0775,flat_0p0,0,10,0.5029730874427915,0.4436271744365935,0.0,444045024560.0,444045024560.0
0.08,base_1p7,1,0,1.0,0.7,2297837716818.088,0.0,0.0
0.08,low_1p0,1,0,1.0,0.7,337013256731.7321,0.0,0.0
0.08,hard_0p5,0,3,0.5850902295534806,0.5097740967499097,0.0,493019085516.6057,493019085516.6057
0.08,flat_0p0,0,9,0.5087287492594104,0.44659601826704537,0.0,444045024560.0,444045024560.0
0.0825,base_1p7,1,0,1.0,0.7,2408872779394.523,0.0,0.0
0.0825,low_1p0,1,0,1.0,0.7,447750951410.4441,0.0,0.0
0.0825,hard_0p5,0,2,0.5912953110370381,0.5126189736702094,0.0,493019085516.6057,493019085516.6057
0.0825,flat_0p0,0,9,0.5144844110760293,0.4495648620974972,0.0,444045024560.0,444045024560.0
0.085,base_1p7,1,0,1.0,0.7,2519907841970.9546,0.0,0.0
0.085,low_1p0,1,0,1.0,0.7,558488646089.1586,0.0,0.0
0.085,hard_0p5,0,1,0.8126093051645807,0.6140859851351117,0.0,493019085516.6057,493019085516.6057
0.085,flat_0p0,0,8,0.5202400728926482,0.45253370592794906,0.0,444045024560.0,444045024560.0
0.0875,base_1p7,1,0,1.0,0.7,2630942904547.386,0.0,0.0
0.0875,low_1p0,1,0,1.0,0.7,669226340767.8695,0.0,0.0
0.0875,hard_0p5,1,0,1.0,0.7,0.0,444046748578.7393,444046748578.7393
0.0875,flat_0p0,0,8,0.5259957347092671,0.4555025497584009,0.0,444045024560.0,444045024560.0
0.09,base_1p7,1,0,1.0,0.7,2741977967123.8203,0.0,0.0
0.09,low_1p0,1,0,1.0,0.7,779964035446.5834,0.0,0.0
0.09,hard_0p5,1,0,1.0,0.7,0.0,351974096774.4275,351974096774.4275
0.09,flat_0p0,0,7,0.531751396525886,0.4584713935888528,0.0,444045024560.0,444045024560.0
0.0925,base_1p7,1,0,1.0,0.7,2853013029700.2524,0.0,0.0
0.0925,low_1p0,1,0,1.0,0.7,890701730125.2948,0.0,0.0
0.0925,hard_0p5,1,0,1.0,0.7,0.0,259472538144.29974,259472538144.29974
0.0925,flat_0p0,0,6,0.537507058342505,0.4614402374193047,0.0,444045024560.0,444045024560.0
0.095,base_1p7,1,0,1.0,0.7,2964048092276.6846,0.0,0.0
0.095,low_1p0,1,0,1.0,0.7,1001439424804.008,0.0,0.0
0.095,hard_0p5,1,0,1.0,0.7,0.0,166516514687.0016,166516514687.0016
0.095,flat_0p0,0,6,0.5432627201591238,0.4644090812497565,0.0,444045024560.0,444045024560.0
0.0975,base_1p7,1,0,1.0,0.7,3075083154853.1157,0.0,0.0
0.0975,low_1p0,1,0,1.0,0.7,1112177119482.7205,0.0,0.0
0.0975,hard_0p5,1,0,1.0,0.7,0.0,73080294234.93176,73080294234.93176
0.0975,flat_0p0,0,5,0.5490183819757428,0.4673779250802083,0.0,444045024560.0,444045024560.0
