tau_high,real_return,income_profile,longevity_pool,passed,fail_years,pool_depletion_year,steady_state_deficit,is_structurally_sustainable,max_state_loan,final_state_loan,peak_longevity_retirees,min_repl_low,min_repl_mid,max_loan_to_assets_ratio,final_longevity_pool,total_longevity_payouts,total_longevity_backstop
0.175,0.01735,False,False,True,0,,70549537320.34457,True,0.0,0.0,0,1.0,0.7306187373573851,0.0,0.0,0.0,0.0
0.175,0.01735,False,True,True,0,,70549537320.34457,True,0.0,0.0,1499879,1.0,0.7306187373573851,0.0,10136623421739.178,1357069560000.0,0.0
0.175,0.01735,True,False,True,0,,974973246.1172485,True,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.175,0.01735,True,True,True,0,,974973246.1172485,True,0.0,0.0,1499879,1.0,0.7,0.0,4131303620405.133,1357069560000.0,0.0
0.175,0.025,False,False,True,0,,90169775773.7407,True,0.0,0.0,0,1.0,0.9784315555132819,0.0,0.0,0.0,0.0
0.175,0.025,False,True,True,0,,90169775773.7407,True,0.0,0.0,1499879,1.0,0.9784315555132819,0.0,18415765176451.113,1357069560000.0,0.0
0.175,0.025,True,False,True,0,,51302176286.92832,True,0.0,0.0,0,1.0,0.7300540977824134,0.0,0.0,0.0,0.0
0.175,0.025,True,True,True,0,,51302176286.92832,True,0.0,0.0,1499879,1.0,0.7300540977824134,0.0,10788394670793.457,1357069560000.0,0.0
0.2,0.0,False,False,True,0,,-22617528800.0,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.2,0.0,False,True,True,0,98,-22617528800.0,False,36384114399.18469,36384114399.18469,1499879,1.0,0.7,0.006499922954608517,1157172165199.185,1357069560000.0,0.0
0.2,0.0,True,False,False,4,91,-70410818864.0,False,327801538938.8,327801538938.8,0,0.6897143806608317,0.5314936474970371,0.09999999999999999,0.0,0.0,0.0
0.2,0.0,True,True,False,10,70,-70410818864.0,False,439186975450.33325,439186975450.33325,1499879,0.6897143806608317,0.5314936474970371,0.12878495679196508,132219675253.75949,1338293083912.5735,0.0
0.2,0.005,False,False,True,0,,2696179243.829773,True,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.2,0.005,False,True,True,0,,2696179243.829773,True,0.0,0.0,1499879,1.0,0.7,0.0,2879868327794.757,1357069560000.0,0.0
0.2,0.005,True,False,True,0,,-51825185349.08786,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.2,0.005,True,True,False,10,76,-51825185349.08786,False,487948217944.0758,487948217944.0758,1499879,0.7623204950171933,0.5807833454186128,0.11293988451536023,710000922186.0874,1357069560000.0,0.0
0.2,0.01,False,False,True,0,,33688657798.373795,True,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.2,0.01,False,True,True,0,,33688657798.373795,True,0.0,0.0,1499879,1.0,0.7,0.0,5687191790087.399,1357069560000.0,0.0
0.2,0.01,True,False,True,0,,-29425044879.696564,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.2,0.01,True,True,True,0,91,-29425044879.696564,False,241656375973.55203,241656375973.55203,1499879,1.0,0.7,0.042118102314759064,1745715324604.441,1357069560000.0,0.0
0.2,0.01735,False,False,True,0,,84617417520.3446,True,0.0,0.0,0,1.0,0.7306187373573851,0.0,0.0,0.0,0.0
0.2,0.01735,False,True,True,0,,84617417520.3446,True,0.0,0.0,1499879,1.0,0.7306187373573851,0.0,12125672233650.469,1357069560000.0,0.0
0.2,0.01735,True,False,True,0,,12299616807.117249,True,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.2,0.01735,True,True,True,0,,12299616807.117249,True,0.0,0.0,1499879,1.0,0.7,0.0,5605685709264.684,1357069560000.0,0.0
0.2,0.025,False,False,True,0,,104237655973.74072,True,0.0,0.0,0,1.0,0.9784315555132819,0.0,0.0,0.0,0.0
0.2,0.025,False,True,True,0,,104237655973.74072,True,0.0,0.0,1499879,1.0,0.9784315555132819,0.0,21470622733797.56,1357069560000.0,0.0
0.2,0.025,True,False,True,0,,62626819847.92832,True,0.0,0.0,0,1.0,0.7300540977824134,0.0,0.0,0.0,0.0
0.2,0.025,True,True,True,0,,62626819847.92832,True,0.0,0.0,1499879,1.0,0.7300540977824134,0.0,13011097677364.82,1357069560000.0,0.0
0.225,0.0,False,False,True,0,,-8549648600.0,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.225,0.0,False,True,True,0,,-8549648600.0,False,0.0,0.0,1499879,1.0,0.7,0.0,1810404528113.5317,1357069560000.0,0.0
0.225,0.0,True,False,True,0,,-59086175303.0,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.225,0.0,True,True,False,10,74,-59086175303.0,False,442299245529.8748,442299245529.8748,1499879,0.7396196948982264,0.5585956527094199,0.12091107062482571,380038775910.7478,1357069560000.0,0.0
0.225,0.005,False,False,True,0,,16764059443.829775,True,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.225,0.005,False,True,True,0,,16764059443.829775,True,0.0,0.0,1499879,1.0,0.7,0.0,3926620409074.007,1357069560000.0,0.0
0.225,0.005,True,False,True,0,,-40500541788.08786,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.225,0.005,True,True,False,5,83,-40500541788.08786,False,489531475596.46954,489531475596.46954,1499879,0.8149772602477321,0.6071952289014417,0.10327960048720955,1129442738421.4507,1357069560000.0,0.0
0.225,0.01,False,False,True,0,,47756537998.373795,True,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.225,0.01,False,True,True,0,,47756537998.373795,True,0.0,0.0,1499879,1.0,0.7,0.0,7034062850512.06,1357069560000.0,0.0
0.225,0.01,True,False,True,0,,-18100401318.696564,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.225,0.01,True,True,True,0,,-18100401318.696564,False,0.0,0.0,1499879,1.0,0.7,0.0,2525076472159.6465,1357069560000.0,0.0
0.225,0.01735,False,False,True,0,,98685297720.3446,True,0.0,0.0,0,1.0,0.7306187373573851,0.0,0.0,0.0,0.0
0.225,0.01735,False,True,True,0,,98685297720.3446,True,0.0,0.0,1499879,1.0,0.7306187373573851,0.0,14114721045561.74,1357069560000.0,0.0
0.225,0.01735,True,False,True,0,,23624260368.11725,True,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.225,0.01735,True,True,True,0,,23624260368.11725,True,0.0,0.0,1499879,1.0,0.7,0.0,7080067798124.228,1357069560000.0,0.0
0.225,0.025,False,False,True,0,,118305536173.74072,True,0.0,0.0,0,1.0,0.9784315555132819,0.0,0.0,0.0,0.0
0.225,0.025,False,True,True,0,,118305536173.74072,True,0.0,0.0,1499879,1.0,0.9784315555132819,0.0,24525480291144.02,1357069560000.0,0.0
0.225,0.025,True,False,True,0,,73951463408.92831,True,0.0,0.0,0,1.0,0.7300540977824134,0.0,0.0,0.0,0.0
0.225,0.025,True,True,True,0,,73951463408.92831,True,0.0,0.0,1499879,1.0,0.7300540977824134,0.0,15233800683936.174,1357069560000.0,0.0
0.25,0.0,False,False,True,0,,5518231600.0,True,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.25,0.0,False,True,True,0,,5518231600.0,True,0.0,0.0,1499879,1.0,0.7,0.0,2632078843720.511,1357069560000.0,0.0
0.25,0.0,True,False,True,0,,-47761531742.0,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.25,0.0,True,True,False,10,80,-47761531742.0,False,440181661048.02124,440181661048.02124,1499879,0.7895250091356214,0.5856976579218028,0.11138614493486608,673837521092.2119,1357069560000.0,0.0
0.25,0.005,False,False,True,0,,30831939643.829773,True,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.25,0.005,False,True,True,0,,30831939643.829773,True,0.0,0.0,1499879,1.0,0.7,0.0,4973372490353.257,1357069560000.0,0.0
0.25,0.005,True,False,True,0,,-29175898227.08786,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.25,0.005,True,True,True,0,95,-29175898227.08786,False,141498438310.3853,141498438310.3853,1499879,1.0,0.7,0.027055328099405713,1619542366537.1619,1357069560000.0,0.0
0.25,0.01,False,False,True,0,,61824418198.373795,True,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.25,0.01,False,True,True,0,,61824418198.373795,True,0.0,0.0,1499879,1.0,0.7,0.0,8380933910936.719,1357069560000.0,0.0
0.25,0.01,True,False,True,0,,-6775757757.696564,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.25,0.01,True,True,True,0,,-6775757757.696564,False,0.0,0.0,1499879,1.0,0.7,0.0,3513260614338.5303,1357069560000.0,0.0
0.25,0.01735,False,False,True,0,,112753177920.3446,True,0.0,0.0,0,1.0,0.7306187373573851,0.0,0.0,0.0,0.0
0.25,0.01735,False,True,True,0,,112753177920.3446,True,0.0,0.0,1499879,1.0,0.7306187373573851,0.0,16103769857473.025,1357069560000.0,0.0
0.25,0.01735,True,False,True,0,,34948903929.11725,True,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.25,0.01735,True,True,True,0,,34948903929.11725,True,0.0,0.0,1499879,1.0,0.7,0.0,8554449886983.784,1357069560000.0,0.0
0.25,0.025,False,False,True,0,,132373416373.74072,True,0.0,0.0,0,1.0,0.9784315555132819,0.0,0.0,0.0,0.0
0.25,0.025,False,True,True,0,,132373416373.74072,True,0.0,0.0,1499879,1.0,0.9784315555132819,0.0,27580337848490.492,1357069560000.0,0.0
