tau_high,scenario,passed,fail_years_last10,min_repl_low,min_repl_mid,min_pool,max_state_loan,final_state_loan
0.035,crash_then_recover,1,0,1.0,0.7,0.0,46679108770.11257,46679108770.11257
0.035,stagflation_proxy,0,8,0.60340531787673,0.5728368608150246,0.0,575034346120.3383,575034346120.3383
0.0375,drawdown_5y_then_1p5,1,0,1.0,0.7,0.0,437829829091.2074,437829829091.2074
0.0375,crash_then_recover,1,0,1.0,0.7,94657211175.94672,0.0,0.0
0.0375,stagflation_proxy,0,7,0.610977326416739,0.5752647309284814,0.0,575034346120.3383,575034346120.3383
0.04,drawdown_5y_then_1p5,1,0,1.0,0.7,0.0,319053484278.75183,319053484278.75183
0.04,crash_then_recover,1,0,1.0,0.7,236224342492.49484,0.0,0.0
0.04,stagflation_proxy,0,6,0.618549334956748,0.5776926010419382,0.0,575034346120.3383,575034346120.3383
0.0425,drawdown_5y_then_1p5,1,0,1.0,0.7,0.0,196490389608.68246,196490389608.68246
0.0425,crash_then_recover,1,0,1.0,0.7,377791473809.0449,0.0,0.0
0.0425,stagflation_proxy,0,4,0.6261213434967571,0.580120471155395,0.0,575034346120.3383,575034346120.3383
0.045,drawdown_5y_then_1p5,1,0,1.0,0.7,0.0,69358380410.95258,69358380410.95258
0.045,crash_then_recover,1,0,1.0,0.7,519358605125.5925,0.0,0.0
0.045,stagflation_proxy,0,3,0.633693352036766,0.5825483412688518,0.0,575034346120.3383,575034346120.3383
0.0475,drawdown_5y_then_1p5,1,0,1.0,0.7,61922606044.608505,0.0,0.0
0.0475,crash_then_recover,1,0,1.0,0.7,660925736442.1415,0.0,0.0
0.0475,stagflation_proxy,0,2,0.641265360576775,0.5849762113823086,0.0,575034346120.3383,575034346120.3383
0.05,drawdown_5y_then_1p5,1,0,1.0,0.7,193568709214.9556,0.0,0.0
0.05,crash_then_recover,1,0,1.0,0.7,802492867758.6902,0.0,0.0
0.05,stagflation_proxy,1,0,1.0,0.7,0.0,535663983717.44464,535663983717.44464
0.0525,drawdown_5y_then_1p5,1,0,1.0,0.7,325214812385.30255,0.0,0.0
0.0525,crash_then_recover,1,0,1.0,0.7,944059999075.2373,0.0,0.0
0.0525,stagflation_proxy,1,0,1.0,0.7,0.0,425895365347.6033,425895365347.6033
0.055,drawdown_5y_then_1p5,1,0,1.0,0.7,456860915555.6504,0.0,0.0
0.055,crash_then_recover,1,0,1.0,0.7,1085627130391.7852,0.0,0.0
0.055,stagflation_proxy,1,0,1.0,0.7,0.0,314369267375.38367,314369267375.38367
0.0575,drawdown_5y_then_1p5,1,0,1.0,0.7,588507018725.9971,0.0,0.0
0.0575,crash_then_recover,1,0,1.0,0.7,1221922457959.4856,0.0,0.0
0.0575,stagflation_proxy,1,0,1.0,0.7,0.0,200593047023.70264,200593047023.70264
0.06,drawdown_5y_then_1p5,1,0,1.0,0.7,720153121896.3423,0.0,0.0
0.06,crash_then_recover,1,0,1.0,0.7,1331715007790.3464,0.0,0.0
0.06,stagflation_proxy,1,0,1.0,0.7,0.0,84509285893.84485,84509285893.84485
0.0625,drawdown_5y_then_1p5,1,0,1.0,0.7,851799225066.689,0.0,0.0
0.0625,crash_then_recover,1,0,1.0,0.7,1441507557621.2083,0.0,0.0
0.0625,stagflation_proxy,1,0,1.0,0.7,33784799718.78035,0.0,0.0
0.065,drawdown_5y_then_1p5,1,0,1.0,0.7,983445328237.0376,0.0,0.0
0.065,crash_then_recover,1,0,1.0,0.7,1551300107452.07,0.0,0.0
0.065,stagflation_proxy,1,0,1.0,0.7,152369036613.42032,0.0,0.0
0.0675,drawdown_5y_then_1p5,1,0,1.0,0.7,1115091431407.3843,0.0,0.0
0.0675,crash_then_recover,1,0,1.0,0.7,1661092657282.9302,0.0,0.0
0.0675,stagflation_proxy,1,0,1.0,0.7,270953273508.06033,0.0,0.0
0.07,drawdown_5y_then_1p5,1,0,1.0,0.7,1246737534577.7327,0.0,0.0
0.07,crash_then_recover,1,0,1.0,0.7,1770885207113.7944,0.0,0.0
0.07,stagflation_proxy,1,0,1.0,0.7,389537510402.7001,0.0,0.0
0.0725,drawdown_5y_then_1p5,1,0,1.0,0.7,1378383637748.0776,0.0,0.0
0.0725,crash_then_recover,1,0,1.0,0.7,1880677756944.653,0.0,0.0
0.0725,stagflation_proxy,1,0,1.0,0.7,508121747297.3407,0.0,0.0
0.075,drawdown_5y_then_1p5,1,0,1.0,0.7,1510029740918.4268,0.0,0.0
0.075,crash_then_recover,1,0,1.0,0.7,1990470306775.515,0.0,0.0
